Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0240:GACT,CHTR:CM02:1455:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-27-16:29:32,23.7734,97.7769,75.3132,16.0063,1.92181,28.5541
2019-03-27-16:29:33,23.7734,98.1078,75.5299,16.0063,1.92181,28.5541
2019-03-27-16:29:34,23.7734,97.7556,75.4214,16.0063,1.92181,28.5541
2019-03-27-16:29:35,23.7734,97.965,75.4214,16.0206,1.92181,28.5541
2019-03-27-16:29:36,23.7734,97.965,75.4214,16.006,1.92181,28.5541
2019-03-27-16:29:37,23.7734,97.7726,75.4214,16.006,1.92181,28.5541
2019-03-27-16:29:38,23.7734,97.9587,75.5277,16.006,1.92181,28.5541
2019-03-27-16:29:39,23.7734,97.9587,75.3044,16.006,1.92181,28.5541
2019-03-27-16:29:40,23.7734,97.7912,75.428,16.006,1.92181,28.5541
2019-03-27-16:29:41,23.7734,97.7912,75.428,16.006,1.92181,28.5541
2019-03-27-16:29:42,23.7734,97.7912,75.428,16.006,1.92181,28.5541
2019-03-27-16:29:43,23.7734,97.9657,75.428,16.006,1.92181,28.5541
2019-03-27-16:29:44,23.7734,97.8486,75.428,16.006,1.92181,28.5541
2019-03-27-16:29:45,23.7734,97.7423,75.5344,16.006,1.92181,28.5541
2019-03-27-16:29:46,23.7734,97.9786,75.4274,15.9952,1.92181,28.5541
2019-03-27-16:29:47,23.7734,97.7388,75.4274,15.9952,1.92181,28.5541
2019-03-27-16:29:48,23.7734,97.8882,75.4274,15.9952,1.92181,28.5541
2019-03-27-16:29:49,23.7734,97.8882,75.32,15.9952,1.92181,28.5541
2019-03-27-16:29:50,23.7734,97.7445,75.32,15.9952,1.92181,28.5541
2019-03-27-16:29:51,23.7734,97.7445,75.32,15.9952,1.92181,28.5541
2019-03-27-16:29:52,23.7734,97.7445,75.4271,15.9952,1.92181,28.5541
2019-03-27-16:29:53,23.7734,97.8596,75.4271,15.9952,1.92181,28.5541
2019-03-27-16:29:54,23.7734,97.7484,75.4271,15.9952,1.92181,28.5541
2019-03-27-16:29:55,23.7734,98.043,75.4271,15.9952,1.92181,28.5541
2019-03-27-16:29:56,23.7734,97.8265,75.4271,15.9952,1.92181,28.5541
2019-03-27-16:29:57,23.7734,97.8265,75.1709,15.9952,1.92181,28.5541
2019-03-27-16:29:58,23.7734,97.8265,75.5468,15.9952,1.92181,28.5541
2019-03-27-16:29:59,23.7734,97.9971,75.4016,15.9952,1.92181,28.5541
2019-03-27-16:30:00,23.7734,97.781,75.5544,15.9952,1.92181,28.5541
2019-03-27-16:30:01,23.7734,97.781,75.412,15.9952,1.92181,28.5541
2019-03-27-16:30:02,23.7734,97.781,75.412,15.9952,1.92181,28.5541
2019-03-27-16:30:03,23.7734,97.781,75.5434,15.9952,1.92181,28.5541
2019-03-27-16:30:04,23.7734,97.781,75.2666,15.9952,1.92181,28.5541
2019-03-27-16:30:05,23.7734,97.781,75.6191,15.9952,1.92181,28.5541
2019-03-27-16:30:06,23.7734,97.781,75.398,15.9952,1.92181,28.5541
2019-03-27-16:30:07,23.7734,97.781,75.398,15.9841,1.92181,28.5541
2019-03-27-16:30:08,23.7734,98.0201,75.1548,15.9841,1.92181,28.5541
2019-03-27-16:30:09,23.7734,97.7581,75.313,15.9841,1.92181,28.5541
