Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,CHTR:CM02:1155:HV:POWER
2019-03-27-11:05:02,23.7734,97.8218,75.2396,5.92058
2019-03-27-11:05:03,23.7734,97.2932,74.8102,5.92058
2019-03-27-11:05:04,23.7734,97.2932,75.0525,5.92058
2019-03-27-11:05:05,23.7734,97.4439,75.0525,5.92058
2019-03-27-11:05:06,23.7734,97.2887,75.153,5.92058
2019-03-27-11:05:07,23.7734,97.4732,75.153,5.92058
2019-03-27-11:05:08,23.7734,97.3063,75.153,5.92058
2019-03-27-11:05:09,23.7734,97.3063,75.0267,5.92058
2019-03-27-11:05:10,23.7734,97.3063,75.0267,5.92058
2019-03-27-11:05:11,23.7734,97.3063,75.0267,5.92058
2019-03-27-11:05:12,23.7734,97.3063,75.0267,5.92058
2019-03-27-11:05:13,23.7734,97.7174,75.0267,5.92058
2019-03-27-11:05:14,23.7734,97.4292,75.0267,5.92058
2019-03-27-11:05:15,23.7734,97.3231,75.2617,5.92058
2019-03-27-11:05:16,23.7734,97.4661,75.0012,5.92058
2019-03-27-11:05:17,23.7734,97.3304,75.1272,5.92058
2019-03-27-11:05:18,23.7734,97.3304,75.1272,5.92058
2019-03-27-11:05:19,23.7734,97.6884,75.1272,5.92058
2019-03-27-11:05:20,23.7734,97.3816,75.003,5.92058
2019-03-27-11:05:21,23.7734,97.3816,74.8343,5.92058
2019-03-27-11:05:22,23.7734,97.3816,75.0249,5.92058
2019-03-27-11:05:23,23.7734,97.2673,74.898,5.92058
2019-03-27-11:05:24,23.7734,97.2673,75.1245,5.92058
2019-03-27-11:05:25,23.7734,97.4437,74.9706,5.92058
2019-03-27-11:05:26,23.7734,97.3431,75.0902,5.92058
2019-03-27-11:05:27,23.7734,97.3431,75.0902,5.92058
2019-03-27-11:05:28,23.7734,97.3431,74.8262,5.92058
2019-03-27-11:05:29,23.7734,97.3431,75.0273,5.92058
2019-03-27-11:05:30,23.7734,97.6216,75.0273,5.92058
2019-03-27-11:05:31,23.7734,97.2787,74.8618,5.92058
2019-03-27-11:05:32,23.7734,97.2787,75.2927,5.92058
2019-03-27-11:05:33,23.7734,97.2787,75.0297,5.92058
2019-03-27-11:05:34,23.7734,97.2787,74.866,5.92058
2019-03-27-11:05:35,23.7734,97.2787,75.0144,5.92058
2019-03-27-11:05:36,23.7734,97.2787,74.7755,5.92058
2019-03-27-11:05:37,23.7734,97.2787,75.3135,5.92058
2019-03-27-11:05:38,23.7734,97.2787,74.9805,5.92058
2019-03-27-11:05:39,23.7734,97.387,74.9805,5.92058
2019-03-27-11:05:40,23.7734,97.2858,74.9805,5.92058
2019-03-27-11:05:41,23.7734,97.5227,74.9805,5.92058
2019-03-27-11:05:42,23.7734,97.4057,74.9805,5.92058
2019-03-27-11:05:43,23.7734,97.2625,74.9805,5.92058
2019-03-27-11:05:44,23.7734,97.3799,75.0935,5.92058
2019-03-27-11:05:45,23.7734,97.2798,75.0935,5.92058
2019-03-27-11:05:46,23.7734,97.2798,75.0935,5.92058
2019-03-27-11:05:47,23.7734,97.2798,74.8712,5.92058
2019-03-27-11:05:48,23.7734,97.2798,75.0807,5.92058
2019-03-27-11:05:49,23.7734,97.2798,75.0807,5.92058
2019-03-27-11:05:50,23.7734,97.2798,75.0807,5.92058
2019-03-27-11:05:51,23.7734,97.2798,75.0807,5.92058
2019-03-27-11:05:52,23.7734,97.2798,75.0807,5.92058
2019-03-27-11:05:53,23.7734,97.4049,74.9674,5.92058
2019-03-27-11:05:54,23.7734,97.4049,74.8599,5.92058
2019-03-27-11:05:55,23.7734,97.4049,75.0681,5.92058
2019-03-27-11:05:56,23.7734,97.4049,74.905,5.92058
2019-03-27-11:05:57,23.7734,97.4049,75.0613,5.92058
2019-03-27-11:05:58,23.7734,97.4049,74.7789,5.92058
2019-03-27-11:05:59,23.7734,97.86,75.1883,5.92058
2019-03-27-11:06:00,23.7734,97.281,74.8724,5.92058
2019-03-27-11:06:01,23.7734,97.4729,75.2092,5.92058
2019-03-27-11:06:02,23.7734,97.2775,75.0003,5.92058
2019-03-27-11:06:03,23.7734,97.4736,75.2007,5.92058
2019-03-27-11:06:04,23.7734,97.3009,75.0266,5.92058
2019-03-27-11:06:05,23.7734,97.5312,75.0266,5.92058
2019-03-27-11:06:06,23.7734,97.5312,75.2106,5.92058
2019-03-27-11:06:07,23.7734,97.2886,74.9879,5.92058
2019-03-27-11:06:08,23.7734,97.5609,75.2398,5.92058
2019-03-27-11:06:09,23.7734,97.267,74.7679,5.92058
2019-03-27-11:06:10,23.7734,97.4638,74.9951,5.92058
2019-03-27-11:06:11,23.7734,97.4638,74.9951,5.92058
2019-03-27-11:06:12,23.7734,97.3032,74.9951,5.92058
2019-03-27-11:06:13,23.7734,97.4886,74.9951,5.92058
2019-03-27-11:06:14,23.7734,97.2929,74.9951,5.92058
2019-03-27-11:06:15,23.7734,97.4239,74.8221,5.92058
2019-03-27-11:06:16,23.7734,97.3067,75.0387,5.92058
2019-03-27-11:06:17,23.7734,97.5346,74.8933,5.92058
2019-03-27-11:06:18,23.7734,97.5346,75.1044,5.92058
2019-03-27-11:06:19,23.7734,97.5346,75.1044,5.92058
2019-03-27-11:06:20,23.7734,97.2926,74.9622,5.92058
2019-03-27-11:06:21,23.7734,97.2926,74.9622,5.92058
2019-03-27-11:06:22,23.7734,97.2926,74.9622,5.92058
2019-03-27-11:06:23,23.7734,97.4207,75.1447,5.92058
2019-03-27-11:06:24,23.7734,97.3203,74.9506,5.92058
2019-03-27-11:06:25,23.7734,97.3203,74.9506,5.92058
2019-03-27-11:06:26,23.7734,97.3203,74.9506,5.92058
2019-03-27-11:06:27,23.7734,97.3203,74.9506,5.92058
2019-03-27-11:06:28,23.7734,97.3203,75.0925,5.92058
2019-03-27-11:06:29,23.7734,97.3203,74.73,5.92058
2019-03-27-11:06:30,23.7734,97.7748,75.0522,5.92058
2019-03-27-11:06:31,23.7734,97.39,75.0522,5.92058
2019-03-27-11:06:32,23.7734,97.6689,75.0522,5.92058
2019-03-27-11:06:33,23.7734,97.3256,74.806,5.92058
2019-03-27-11:06:34,23.7734,97.3256,75.0425,5.92058
2019-03-27-11:06:35,23.7734,97.3256,75.0425,5.92058
2019-03-27-11:06:36,23.7734,97.3256,75.0425,5.92058
2019-03-27-11:06:37,23.7734,97.3256,74.9419,5.92058
2019-03-27-11:06:38,23.7734,97.3256,74.8202,5.92058
2019-03-27-11:06:39,23.7734,97.3256,75.0113,5.92058
2019-03-27-11:06:40,23.7734,97.3256,75.0113,5.92058
2019-03-27-11:06:41,23.7734,97.6965,75.1393,5.92058
2019-03-27-11:06:42,23.7734,97.2603,74.945,5.92058
2019-03-27-11:06:43,23.7734,97.3858,75.135,5.92058
2019-03-27-11:06:44,23.7734,97.3858,75.135,5.92058
2019-03-27-11:06:45,23.7734,97.2816,75.0106,5.92058
2019-03-27-11:06:46,23.7734,97.2816,74.8161,5.92058
2019-03-27-11:06:47,23.7734,97.2816,74.8161,5.92058
2019-03-27-11:06:48,23.7734,97.2816,74.8161,5.92058
2019-03-27-11:06:49,23.7734,97.2816,75.0364,5.92058
2019-03-27-11:06:50,22.6758,97.2816,75.0364,5.92058
2019-03-27-11:06:51,23.9141,97.2816,75.0364,5.92058
