time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:11:48,1551640308.56,2.13125,96.3412,17.3984,74.3349,9.95721
2019-03-03 14:11:49,1551640309.56,2.13125,96.449,17.3984,74.3349,9.95721
2019-03-03 14:11:53,1551640313.56,2.13125,96.3479,17.3984,74.3349,9.95721
2019-03-03 14:11:54,1551640314.56,2.13125,96.5056,17.3984,74.3349,9.95721
2019-03-03 14:11:55,1551640315.56,2.13125,96.3585,17.3984,74.3349,9.95721
2019-03-03 14:11:57,1551640317.56,2.13125,96.3585,17.3984,74.4834,9.95721
2019-03-03 14:11:58,1551640318.56,2.13125,96.3585,17.3984,74.3265,9.95721
2019-03-03 14:11:59,1551640319.56,2.13125,96.6046,17.3984,74.3265,9.95721
2019-03-03 14:12:00,1551640320.56,2.13125,96.3967,17.3984,74.3265,9.95721
2019-03-03 14:12:02,1551640322.56,2.13125,96.3967,17.3984,74.1698,9.95721
2019-03-03 14:12:03,1551640323.56,2.13125,96.3967,17.3984,74.314,9.95721
2019-03-03 14:12:09,1551640329.56,2.13125,96.3967,17.3984,74.4916,9.95721
2019-03-03 14:12:10,1551640330.56,2.13125,96.3967,17.3984,74.3646,9.95721
2019-03-03 14:12:11,1551640331.56,2.13125,96.3967,17.3984,74.1235,9.95721
2019-03-03 14:12:12,1551640332.57,2.13125,96.3967,17.3984,74.4245,9.95721
2019-03-03 14:12:15,1551640335.56,2.13125,96.3967,17.3984,74.3209,9.95721
2019-03-03 14:12:16,1551640336.56,2.13125,96.3967,17.3984,74.59,9.95721
2019-03-03 14:12:17,1551640337.56,2.13125,96.3967,17.3984,74.3728,9.95721
2019-03-03 14:12:18,1551640338.56,2.13125,96.4982,17.3984,74.2413,9.95721
2019-03-03 14:12:19,1551640339.56,2.13125,96.3621,17.3984,74.4519,9.95721
2019-03-03 14:12:20,1551640340.56,2.13125,96.4799,17.3984,74.2882,9.95721
2019-03-03 14:12:22,1551640342.56,2.13125,96.3415,17.3984,74.4725,9.95721
2019-03-03 14:12:23,1551640343.56,2.13125,96.5441,17.3984,74.1433,9.95721
2019-03-03 14:12:24,1551640344.56,2.13125,96.5441,17.3984,74.3105,9.95721
2019-03-03 14:12:25,1551640345.56,2.13125,96.8008,17.3984,74.1079,9.95721
2019-03-03 14:12:26,1551640346.56,2.13125,96.3854,17.3984,74.3507,9.95721
2019-03-03 14:12:29,1551640349.56,2.13125,96.5285,17.3984,74.3507,9.95721
2019-03-03 14:12:31,1551640351.56,2.13125,96.4002,17.3984,74.3507,9.95721
