time,Unix time,CPT:CM02:2302:DS:PRESS,CHTR:CM02:1455:HV:POWER,CLL:CM02:2601:US:LVL,CLL:CM02:2301:DS:LVL,CTE:CM02:1420:DH:TEMP,CTE:CM02:1418:UH:TEMP,ACCL:L1B:0240:CPLRTEMP1,ACCL:L1B:0240:CPLRTEMP2,CPV:CM02:3001:JT:POS_RBV
2019-03-17 12:10:37,1552839037.56,29.5314,1.91554,72.501,94.6187,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:38,1552839038.56,29.5314,1.91554,72.7935,94.8656,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:39,1552839039.56,29.5314,1.91554,72.7935,94.6906,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:40,1552839040.56,29.5314,1.91554,72.5304,94.5561,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:41,1552839041.56,29.5314,1.91554,72.8119,94.5561,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:42,1552839042.56,29.5314,1.91554,72.5665,94.5561,5.39695,6.23439,72.4464,73.8772,34.9062
2019-03-17 12:10:43,1552839043.56,29.5314,1.91554,72.8466,94.5561,5.39695,6.23439,72.4464,73.8772,34.082
2019-03-17 12:10:44,1552839044.57,29.5314,1.91554,72.8466,94.5561,5.39695,6.23439,72.4464,73.8772,33.8906
2019-03-17 12:10:45,1552839045.56,29.5314,1.91554,72.5279,94.5561,5.39695,6.23439,72.4464,73.8772,33.8906
2019-03-17 12:10:46,1552839046.56,29.5314,1.91554,72.8879,94.5561,5.39695,6.23439,72.4464,73.8772,33.8906
2019-03-17 12:10:47,1552839047.56,29.5314,1.91554,72.5774,94.5561,5.39695,6.23439,72.4464,73.8772,33.8906
2019-03-17 12:10:50,1552839050.57,29.5314,1.91554,72.5774,94.5561,5.39695,6.23439,72.4464,73.8772,35.3203
2019-03-17 12:10:51,1552839051.56,29.5314,1.91554,72.5774,94.5561,5.39695,6.23439,72.4464,73.8772,35.5391
2019-03-17 12:10:52,1552839052.56,29.5314,1.91554,72.5774,94.5561,5.39695,6.23439,72.4464,73.8772,34.6328
2019-03-17 12:10:53,1552839053.16,29.5314,1.91554,72.5774,94.5561,5.39695,6.23439,72.4464,73.9794,34.6328
2019-03-17 12:10:53,1552839053.56,29.5314,1.91554,72.5774,94.5561,5.39695,6.23439,72.4464,73.9794,34.1641
2019-03-17 12:10:54,1552839054.56,29.5314,1.91554,72.9034,94.5561,5.39695,6.23439,72.4464,73.9794,34.1641
2019-03-17 12:10:55,1552839055.56,29.5314,1.91554,72.6103,94.5561,5.39695,6.23439,72.4464,73.9794,34.1641
2019-03-17 12:10:56,1552839056.56,29.5314,1.91554,72.8898,94.7604,5.39695,6.23439,72.4464,73.9794,34.1641
