Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-27-11:05:02,24,97.8218,75.2396,20.0,19.36994
2019-03-27-11:05:03,24,97.2932,74.8102,20.0,19.36994
2019-03-27-11:05:04,24,97.2932,75.0525,20.0,19.36994
2019-03-27-11:05:05,24,97.4439,75.0525,20.0,19.36994
2019-03-27-11:05:06,24,97.2887,75.153,20.0,19.36994
2019-03-27-11:05:07,24,97.4732,75.153,20.0,19.36994
2019-03-27-11:05:08,24,97.3063,75.153,20.0,19.36994
2019-03-27-11:05:09,24,97.3063,75.0267,20.0,19.36994
2019-03-27-11:05:10,24,97.3063,75.0267,20.0,19.36994
2019-03-27-11:05:11,24,97.3063,75.0267,20.0,19.36994
2019-03-27-11:05:12,24,97.3063,75.0267,20.0,19.36994
2019-03-27-11:05:13,24,97.7174,75.0267,20.0,19.36994
2019-03-27-11:05:14,24,97.4292,75.0267,20.0,19.36994
2019-03-27-11:05:15,24,97.3231,75.2617,20.0,19.36994
2019-03-27-11:05:16,24,97.4661,75.0012,20.0,19.36994
2019-03-27-11:05:17,24,97.3304,75.1272,20.0,19.36994
2019-03-27-11:05:18,24,97.3304,75.1272,20.0,19.36994
2019-03-27-11:05:19,24,97.6884,75.1272,20.0,19.36994
2019-03-27-11:05:20,24,97.3816,75.003,20.0,19.36994
2019-03-27-11:05:21,24,97.3816,74.8343,20.0,19.36994
2019-03-27-11:05:22,24,97.3816,75.0249,20.0,19.36994
2019-03-27-11:05:23,24,97.2673,74.898,20.0,19.36994
2019-03-27-11:05:24,24,97.2673,75.1245,20.0,19.36994
2019-03-27-11:05:25,24,97.4437,74.9706,20.0,19.36994
2019-03-27-11:05:26,24,97.3431,75.0902,20.0,19.36994
2019-03-27-11:05:27,24,97.3431,75.0902,20.0,19.36994
2019-03-27-11:05:28,24,97.3431,74.8262,20.0,19.36994
2019-03-27-11:05:29,24,97.3431,75.0273,20.0,19.36994
2019-03-27-11:05:30,24,97.6216,75.0273,20.0,19.36994
2019-03-27-11:05:31,24,97.2787,74.8618,20.0,19.36994
2019-03-27-11:05:32,24,97.2787,75.2927,20.0,19.36994
2019-03-27-11:05:33,24,97.2787,75.0297,20.0,19.36994
2019-03-27-11:05:34,24,97.2787,74.866,20.0,19.36994
2019-03-27-11:05:35,24,97.2787,75.0144,20.0,19.36994
2019-03-27-11:05:36,24,97.2787,74.7755,20.0,19.36994
2019-03-27-11:05:37,24,97.2787,75.3135,20.0,19.36994
2019-03-27-11:05:38,24,97.2787,74.9805,20.0,19.36994
2019-03-27-11:05:39,24,97.387,74.9805,20.0,19.36994
2019-03-27-11:05:40,24,97.2858,74.9805,20.0,19.36994
2019-03-27-11:05:41,24,97.5227,74.9805,20.0,19.36994
2019-03-27-11:05:42,24,97.4057,74.9805,20.0,19.36994
2019-03-27-11:05:43,24,97.2625,74.9805,20.0,19.36994
2019-03-27-11:05:44,24,97.3799,75.0935,20.0,19.36994
2019-03-27-11:05:45,24,97.2798,75.0935,20.0,19.36994
2019-03-27-11:05:46,24,97.2798,75.0935,20.0,19.36994
2019-03-27-11:05:47,24,97.2798,74.8712,20.0,19.36994
2019-03-27-11:05:48,24,97.2798,75.0807,20.0,19.36994
2019-03-27-11:05:49,24,97.2798,75.0807,20.0,19.36994
2019-03-27-11:05:50,24,97.2798,75.0807,20.0,19.36994
2019-03-27-11:05:51,24,97.2798,75.0807,20.0,19.36994
2019-03-27-11:05:52,24,97.2798,75.0807,20.0,19.36994
2019-03-27-11:05:53,24,97.4049,74.9674,20.0,19.36994
2019-03-27-11:05:54,24,97.4049,74.8599,20.0,19.36994
2019-03-27-11:05:55,24,97.4049,75.0681,20.0,19.36994
2019-03-27-11:05:56,24,97.4049,74.905,20.0,19.36994
2019-03-27-11:05:57,24,97.4049,75.0613,20.0,19.36994
2019-03-27-11:05:58,24,97.4049,74.7789,20.0,19.36994
2019-03-27-11:05:59,24,97.86,75.1883,20.0,19.36994
2019-03-27-11:06:00,24,97.281,74.8724,20.0,19.36994
2019-03-27-11:06:01,24,97.4729,75.2092,20.0,19.36994
2019-03-27-11:06:02,24,97.2775,75.0003,20.0,19.36994
2019-03-27-11:06:03,24,97.4736,75.2007,20.0,19.36994
2019-03-27-11:06:04,24,97.3009,75.0266,20.0,19.36994
2019-03-27-11:06:05,24,97.5312,75.0266,20.0,19.36994
2019-03-27-11:06:06,24,97.5312,75.2106,20.0,19.36994
2019-03-27-11:06:07,24,97.2886,74.9879,20.0,19.36994
2019-03-27-11:06:08,24,97.5609,75.2398,20.0,19.36994
2019-03-27-11:06:09,24,97.267,74.7679,20.0,19.36994
2019-03-27-11:06:10,24,97.4638,74.9951,20.0,19.36994
2019-03-27-11:06:11,24,97.4638,74.9951,20.0,19.36994
2019-03-27-11:06:12,24,97.3032,74.9951,20.0,19.36994
2019-03-27-11:06:13,24,97.4886,74.9951,20.0,19.36994
2019-03-27-11:06:14,24,97.2929,74.9951,20.0,19.36994
2019-03-27-11:06:15,24,97.4239,74.8221,20.0,19.36994
2019-03-27-11:06:16,24,97.3067,75.0387,20.0,19.36994
2019-03-27-11:06:17,24,97.5346,74.8933,20.0,19.36994
2019-03-27-11:06:18,24,97.5346,75.1044,20.0,19.36994
2019-03-27-11:06:19,24,97.5346,75.1044,20.0,19.36994
2019-03-27-11:06:20,24,97.2926,74.9622,20.0,19.36994
2019-03-27-11:06:21,24,97.2926,74.9622,20.0,19.36994
2019-03-27-11:06:22,24,97.2926,74.9622,20.0,19.36994
2019-03-27-11:06:23,24,97.4207,75.1447,20.0,19.36994
2019-03-27-11:06:24,24,97.3203,74.9506,20.0,19.36994
2019-03-27-11:06:25,24,97.3203,74.9506,20.0,19.36994
2019-03-27-11:06:26,24,97.3203,74.9506,20.0,19.36994
2019-03-27-11:06:27,24,97.3203,74.9506,20.0,19.36994
2019-03-27-11:06:28,24,97.3203,75.0925,20.0,19.36994
2019-03-27-11:06:29,24,97.3203,74.73,20.0,19.36994
2019-03-27-11:06:30,24,97.7748,75.0522,20.0,19.36994
2019-03-27-11:06:31,24,97.39,75.0522,20.0,19.36994
2019-03-27-11:06:32,24,97.6689,75.0522,20.0,19.36994
2019-03-27-11:06:33,24,97.3256,74.806,20.0,19.36994
2019-03-27-11:06:34,24,97.3256,75.0425,20.0,19.36994
2019-03-27-11:06:35,24,97.3256,75.0425,20.0,19.36994
2019-03-27-11:06:36,24,97.3256,75.0425,20.0,19.36994
2019-03-27-11:06:37,24,97.3256,74.9419,20.0,19.36994
