time,Unix time,CPV:CM03:3001:JT:POS_RBV,CFICM0312,CHTR:CM03:1155:HV:POWER
2019-02-23 08:03:50,1550927030.39,48.1133,4.21875,14.9379
2019-02-23 08:03:51,1550927031.39,48.1133,4.75,14.9379
2019-02-23 08:03:52,1550927032.39,48.1133,5.0625,14.9379
2019-02-23 08:03:53,1550927033.40,48.1133,4.375,14.9379
2019-02-23 08:03:54,1550927034.40,48.1133,4.5,14.9379
2019-02-23 08:03:55,1550927035.40,48.1133,5.15625,14.9379
2019-02-23 08:03:56,1550927036.40,48.1133,4.5,14.9379
2019-02-23 08:03:57,1550927037.41,48.1133,4.3125,14.9379
2019-02-23 08:03:58,1550927038.41,48.1133,5.03125,14.9379
2019-02-23 08:03:59,1550927039.41,48.1133,4.75,14.9379
2019-02-23 08:04:00,1550927040.41,48.1133,4.25,14.9379
2019-02-23 08:04:01,1550927041.42,48.1133,4.84375,14.9379
2019-02-23 08:04:02,1550927042.42,48.1133,5,14.9379
2019-02-23 08:04:03,1550927043.42,48.1133,4.3125,14.9379
2019-02-23 08:04:04,1550927044.43,48.1133,4.65625,14.9379
2019-02-23 08:04:05,1550927045.43,48.1133,5.1875,14.9379
2019-02-23 08:04:06,1550927046.43,48.1133,4.4375,14.9379
2019-02-23 08:04:08,1550927048.44,48.1133,5.15625,14.9379
2019-02-23 08:04:09,1550927049.44,48.1133,4.65625,14.9379
2019-02-23 08:04:10,1550927050.45,48.1133,4.21875,14.9379
2019-02-23 08:04:11,1550927051.45,48.1133,4.9375,14.9379
2019-02-23 08:04:13,1550927053.45,48.1133,4.21875,14.9379
2019-02-23 08:04:14,1550927054.46,48.1133,4.71875,14.9379
2019-02-23 08:04:15,1550927055.46,48.1133,5.03125,14.9379
2019-02-23 08:04:16,1550927056.46,48.1133,4.1875,14.9379
2019-02-23 08:04:17,1550927057.57,46.6328,4.1875,14.9379
2019-02-23 08:04:18,1550927058.47,46.6328,4.6875,14.9379
2019-02-23 08:04:19,1550927059.47,46.6328,4.0625,14.9379
2019-02-23 08:04:20,1550927060.47,46.6328,3.8125,14.9379
2019-02-23 08:04:21,1550927061.48,46.6328,4.59375,14.9379
2019-02-23 08:04:22,1550927062.48,46.6328,4.3125,14.9379
2019-02-23 08:04:23,1550927063.49,46.6328,3.76562,14.9379
2019-02-23 08:04:24,1550927064.49,46.6328,4.4375,14.9379
